target_gene,condition,n_cells,n_sig_genes,n_genes_tested,pct_sig_genes
LGALS3BP,Co-culture,174,1,23712,0.004217273954116059
SLC19A1,Co-culture,172,0,23712,0.0
CDKN2A,Co-culture,170,1,23712,0.004217273954116059
NEAT1,Co-culture,170,0,23712,0.0
IRF4,Co-culture,169,0,23712,0.0
KLF4,Co-culture,169,0,23712,0.0
HSPA1A,Co-culture,169,1,23712,0.004217273954116059
CORO1A,Co-culture,167,0,23712,0.0
NME1,Co-culture,166,1,23712,0.004217273954116059
UCN2,Co-culture,165,0,23712,0.0
NONO,Co-culture,165,6,23712,0.025303643724696356
PPIA,Co-culture,165,0,23712,0.0
HNRNPA1,Co-culture,165,3,23712,0.012651821862348178
ARMC6,Co-culture,165,0,23712,0.0
RNF213,Co-culture,164,0,23712,0.0
PROS1,Co-culture,164,0,23712,0.0
GSEC,Co-culture,163,0,23712,0.0
TRIM22,Co-culture,160,0,23712,0.0
SERPINA3,Co-culture,156,0,23712,0.0
HLA-C,Co-culture,156,1,23712,0.004217273954116059
FOS,Co-culture,156,0,23712,0.0
TAPBP,Co-culture,156,1,23712,0.004217273954116059
CST3,Co-culture,155,1,23712,0.004217273954116059
PYGB,Co-culture,154,0,23712,0.0
NGFR,Co-culture,154,0,23712,0.0
SERPINE2,Co-culture,153,1,23712,0.004217273954116059
VAT1,Co-culture,151,1,23712,0.004217273954116059
FRZB,Co-culture,150,0,23712,0.0
GPATCH4,Co-culture,150,0,23712,0.0
MDH2,Co-culture,149,3,23712,0.012651821862348178
SET,Co-culture,148,2,23712,0.008434547908232119
TIMP2,Co-culture,147,1,23712,0.004217273954116059
CDK4,Co-culture,147,1,23712,0.004217273954116059
DDX39A,Co-culture,142,0,23712,0.0
TXNDC17,Co-culture,141,7,23712,0.029520917678812417
XAGE1A,Co-culture,141,0,23712,0.0
EIF3K,Co-culture,141,5,23712,0.021086369770580298
ST6GALNAC2,Co-culture,140,0,23712,0.0
MT2A,Co-culture,140,0,23712,0.0
FKBP4,Co-culture,140,1,23712,0.004217273954116059
HLA-B,Co-culture,137,3,23712,0.012651821862348178
DDX17,Co-culture,137,0,23712,0.0
LGALS3,Co-culture,136,1,23712,0.004217273954116059
ISYNA1,Co-culture,134,0,23712,0.0
SSR2,Co-culture,134,1,23712,0.004217273954116059
SLIRP,Co-culture,132,11,23712,0.046390013495276654
SHMT2,Co-culture,131,1,23712,0.004217273954116059
JPT1,Co-culture,128,1,23712,0.004217273954116059
E2F1,Co-culture,127,0,23712,0.0
BOLA2,Co-culture,118,1,23712,0.004217273954116059
RPSA,Co-culture,116,0,23712,0.0
BOLA2B,Co-culture,113,0,23712,0.0
CCND1,Co-culture,113,1,23712,0.004217273954116059
HASPIN,Co-culture,108,0,23712,0.0
UQCRFS1,Co-culture,107,0,23712,0.0
ACSL3,Co-culture,104,1,23712,0.004217273954116059
C1QBP,Co-culture,104,1,23712,0.004217273954116059
TIMM50,Co-culture,101,0,23712,0.0
PFN1,Co-culture,92,0,23712,0.0
SINHCAF,Co-culture,86,1,23712,0.004217273954116059
MRPL47,Co-culture,85,3,23712,0.012651821862348178
NOLC1,Co-culture,83,0,23712,0.0
NDUFA13,Co-culture,82,0,23712,0.0
P2RX4,Co-culture,77,0,23712,0.0
UBC,Co-culture,73,0,23712,0.0
PABPC1,Co-culture,72,2,23712,0.008434547908232119
TPRKB,Co-culture,71,0,23712,0.0
CTPS1,Co-culture,71,14,23712,0.05904183535762483
UQCRH,Co-culture,71,1,23712,0.004217273954116059
PET100,Co-culture,69,0,23712,0.0
DNMT1,Co-culture,68,0,23712,0.0
MYC,Co-culture,67,1,23712,0.004217273954116059
FBL,Co-culture,61,0,23712,0.0
PUF60,Co-culture,60,0,23712,0.0
CDC123,Co-culture,56,0,23712,0.0
PAICS,Co-culture,54,1,23712,0.004217273954116059
RRS1,Co-culture,53,0,23712,0.0
RNASEH2A,Co-culture,51,1,23712,0.004217273954116059
CDK6,Co-culture,51,0,23712,0.0
FOXM1,Co-culture,50,1,23712,0.004217273954116059
HNRNPC,Co-culture,48,0,23712,0.0
TMED10,Co-culture,40,1,23712,0.004217273954116059
NCL,Co-culture,38,0,23712,0.0
ROMO1,Co-culture,38,0,23712,0.0
CCT3,Co-culture,36,1,23712,0.004217273954116059
GPI,Co-culture,31,0,23712,0.0
SAE1,Co-culture,31,0,23712,0.0
POLD2,Co-culture,30,0,23712,0.0
EEF1G,Co-culture,29,0,23712,0.0
ILF2,Co-culture,28,0,23712,0.0
PPA1,Co-culture,27,0,23712,0.0
SNRPG,Co-culture,22,0,23712,0.0
NACA,Co-culture,21,0,23712,0.0
EIF4A1,Co-culture,20,0,23712,0.0
PRELID3B,Co-culture,20,0,23712,0.0
